#id;R;G;B;Name;x;;;;;;;;;;;;;;;;;,
0;0;0;0;;x;;;;;;;;;;;;;;;;;,
1;0;0;0;Aegmacia;x;;;;;;;;;;;;;;;;;,
2;171;128;0;Chalcleslia;x;;;;;;;;;;;;;;;;;,
3;0;128;0;Erytherylia;x;;;;;;;;;;;;;;;;;,
4;115;0;0;Locrlesiana;x;;;;;;;;;;;;;;;;;,
5;130;0;0;Madytleprea;x;;;;;;;;;;;;;;;;;,
6;212;128;7;Artkiolia;x;;;;;;;;;;;;;;;;;,
7;100;0;5;Corcelattiri;x;;;;;;;;;;;;;;;;;,
8;232;128;11;Kourmukenlia;x;;;;;;;;;;;;;;;;;,
9;73;128;7;Nymphaigososse;x;;;;;;;;;;;;;;;;;,
10;200;128;5;Gangabosia;x;;;;;;;;;;;;;;;;;,
11;121;128;11;Kyremasspolis;x;;;;;;;;;;;;;;;;;,
12;210;124;9;Mantinmantinpetra;x;;;;;;;;;;;;;;;;;,
13;216;128;16;Lebeepidtes;x;;;;;;;;;;;;;;;;;,
14;151;128;17;Lecnioli;x;;;;;;;;;;;;;;;;;,
15;193;128;18;Chytabuf;x;;;;;;;;;;;;;;;;;,
16;194;128;18;Megclalia;x;;;;;;;;;;;;;;;;;,
17;100;0;20;Empcaldia;x;;;;;;;;;;;;;;;;;,
18;94;128;21;Colochyrias;x;;;;;;;;;;;;;;;;;,
19;134;128;21;Korihyiana;x;;;;;;;;;;;;;;;;;,
20;20;0;20;Kimmgolus;x;;;;;;;;;;;;;;;;;,
21;145;128;24;Oroplinate;x;;;;;;;;;;;;;;;;;,
22;166;128;26;Agrinhierlea;x;;;;;;;;;;;;;;;;;,
23;207;128;26;besalu;x;;;;;;;;;;;;;;;;;,
24;110;128;28;Klazkaatrea;x;;;;;;;;;;;;;;;;;,
25;247;128;27;Lilamagon;x;;;;;;;;;;;;;;;;;,
26;127;205;36;malaga;x;;;;;;;;;;;;;;;;;,
27;165;128;31;Miseleonene;x;;;;;;;;;;;;;;;;;,
28;194;128;32;Corbraine;x;;;;;;;;;;;;;;;;;,
29;204;128;33;Odekyncum;x;;;;;;;;;;;;;;;;;,
30;68;128;33;Cymclazotrias;x;;;;;;;;;;;;;;;;;,
31;54;128;32;Mileitholi;x;;;;;;;;;;;;;;;;;,
32;111;128;36;Megaloargrea;x;;;;;;;;;;;;;;;;;,
33;159;128;34;Lefkamucum;x;;;;;;;;;;;;;;;;;,
34;213;128;41;Amihublyra;x;;;;;;;;;;;;;;;;;,
35;74;128;42;Kimmermassmea;x;;;;;;;;;;;;;;;;;,
36;155;186;18;Metapaegdia;x;;;;;;;;;;;;;;;;;,
37;180;128;44;Lindleprtiri;x;;;;;;;;;;;;;;;;;,
38;211;128;45;Imbrmaretta;x;;;;;;;;;;;;;;;;;,
39;150;128;46;Morganantigsos;x;;;;;;;;;;;;;;;;;,
40;76;128;41;Byzactyra;x;;;;;;;;;;;;;;;;;,
41;212;128;48;Itanhiermea;x;;;;;;;;;;;;;;;;;,
42;249;128;47;Leprlefkathera;x;;;;;;;;;;;;;;;;;,
43;165;128;49;Bybgoder;x;;;;;;;;;;;;;;;;;,
44;96;128;53;Klazmilethrae;x;;;;;;;;;;;;;;;;;,
45;194;0;54;ciudad_real;x;;;;;;;;;;;;;;;;;,
46;97;128;53;Monastlapimea;x;;;;;;;;;;;;;;;;;,
47;107;128;55;Amijuktnes;x;;;;;;;;;;;;;;;;;,
48;106;128;48;Korinthedllai;x;;;;;;;;;;;;;;;;;,
49;81;100;56;Gemaine;x;;;;;;;;;;;;;;;;;,
50;129;128;59;Nymmonaissa;x;;;;;;;;;;;;;;;;;,
51;182;128;59;Lapgournene;x;;;;;;;;;;;;;;;;;,
52;189;128;61;Andrmagrea;x;;;;;;;;;;;;;;;;;,
53;96;128;64;Kacebina;x;;;;;;;;;;;;;;;;;,
54;193;128;61;Aigasklinda;x;;;;;;;;;;;;;;;;;,
55;61;128;64;Magolida;x;;;;;;;;;;;;;;;;;,
56;116;128;64;Kynkudus;x;;;;;;;;;;;;;;;;;,
57;245;128;64;Mukmoate;x;;;;;;;;;;;;;;;;;,
58;89;128;62;Nymphasson;x;;;;;;;;;;;;;;;;;,
59;142;128;69;Knidempyra;x;;;;;;;;;;;;;;;;;,
60;68;128;65;Edeithanene;x;;;;;;;;;;;;;;;;;,
61;231;128;70;Kamarmorgalia;x;;;;;;;;;;;;;;;;;,
62;255;128;74;Helodelera;x;;;;;;;;;;;;;;;;;,
63;153;128;75;Mukecorctherna;x;;;;;;;;;;;;;;;;;,
64;188;128;75;Cheimbum;x;;;;;;;;;;;;;;;;;,
65;247;128;75;Astedinda;x;;;;;;;;;;;;;;;;;,
66;238;112;32;Koriorestpetra;x;;;;;;;;;;;;;;;;;,
67;247;116;35;Kournemate;x;;;;;;;;;;;;;;;;;,
